OBJECTID,FOD_ID,FPA_ID,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,dewpoint,humidity,icon,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,sunriseTime,sunsetTime,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,uvIndex,uvIndexTime,windBearing,windGust,windGustTime,windSpeed,latitude_print,longitude_print,offset_print,timezone_print
36346,36530,FS-1478041,82.44,1244759760,54.94,1244807220,82.44,1244759760,52.36,1244724000,27.5,0.22,clear-day,0.63,0,0,,0,,1244722740,1244773680,82.94,1244759760,54.45,1244807220,82.94,1244759760,51.87,1244724000,1244703600,12,1244748240,225,29.65,1244754240,9.06,31.3575,-110.6347222,-7,America/Hermosillo
36976,37161,FS-1478839,69.56,1246555140,51.66,1246622280,69.56,1246555140,56.86,1246597200,52.28,0.73,rain,0.37,0.0113,0.2256,1246572000,0.92,rain,1246536180,1246590000,70.06,1246555140,51.17,1246622280,70.06,1246555140,56.37,1246597200,1246514400,7,1246560600,149,10.42,1246572180,3.65,39.90361111,-111.5266667,-6,America/Denver
37274,37461,FS-1479191,82.52,1246578120,52.61,1246628340,82.52,1246578120,53.64,1246539180,45.58,0.49,,0.37,0.0002,0.0035,1246586400,0.09,rain,1246538820,1246593060,83.02,1246578120,52.12,1246628340,83.02,1246578120,53.15,1246539180,1246518000,,,241,12.43,1246576080,2.98,41.15138889,-123.4013889,-7,America/Los_Angeles
37499,37687,FS-1479447,71.56,1243896780,46.52,1243941420,71.56,1243896780,44.03,1243860060,33.88,0.41,partly-cloudy-day,0.32,0,0,,0,,1243858500,1243910160,72.06,1243896780,46.03,1243941420,72.06,1243896780,43.54,1243860060,1243839600,11,1243881300,221,15.32,1243893540,3.15,34.865,-111.5613889,-7,America/Phoenix
37506,37694,FS-1479454,64,1243358220,39.6,1243427280,64,1243358220,38.36,1243341300,36.07,0.57,rain,0.1,0.0017,0.0146,1243382280,0.93,rain,1243340220,1243391820,64.5,1243358220,39.11,1243427280,64.5,1243358220,37.87,1243341300,1243321200,11,1243360980,354,16.98,1243383600,2.57,35.91416667,-111.9997222,-7,America/Phoenix
37512,37700,FS-1479460,91.39,1248050280,54.35,1248091380,91.39,1248050280,54.55,1248009960,36.77,0.31,clear-day,0.92,0,0.0002,1248055200,0.02,,1248007920,1248061200,91.89,1248050280,53.86,1248091380,91.89,1248050280,54.06,1248009960,1247986800,11,1248034440,341,10.88,1248048720,1.79,41.71194444,-122.05,-7,America/Los_Angeles
37643,37831,FS-1479621,90.1,1246831620,58.47,1246883520,90.1,1246831620,60.42,1246797720,51.22,0.47,,0.46,0,0.0006,1246802460,0.21,,1246796340,1246848000,90.6,1246831620,57.98,1246883520,90.6,1246831620,59.93,1246797720,1246777200,0,1246777200,261,19.36,1246838640,4.44,33.97583333,-110.9269444,-7,America/Phoenix
37733,37924,FS-1479731,83.6,1249248120,49.03,1249307040,83.6,1249248120,59.34,1249218120,49.94,0.53,rain,0.41,0.0032,0.1162,1249196400,0.58,rain,1249218300,1249269720,84.1,1249248120,48.54,1249307040,84.1,1249248120,58.85,1249218120,1249196400,0,1249196400,253,22.2,1249261200,4.32,40.83388889,-121.5422222,-7,America/Los_Angeles
37793,37984,FS-1479805,85.22,1247349660,58.78,1247402880,85.22,1247349660,62.36,1247316720,35.8,0.25,,0.64,0,0,,0,,1247314380,1247365500,85.72,1247349660,58.29,1247402880,85.72,1247349660,61.87,1247316720,1247292000,0,1247292000,137,20.44,1247340180,5.6,33.19444444,-108.0422222,-6,America/Denver
37817,38008,FS-1479835,104.09,1247353020,82.94,1247396640,104.09,1247353020,78.79,1247313120,47.4,0.24,,0.65,0.0001,0.0011,1247358360,0.02,rain,1247315040,1247366040,104.59,1247353020,82.45,1247396640,104.59,1247353020,78.3,1247313120,1247295600,0,1247295600,154,20.15,1247350800,5.95,32.91194444,-110.6611111,-7,America/Phoenix
37885,38076,FS-1479919,92.42,1251238680,63.65,1251293700,92.42,1251238680,62.09,1251207360,45.46,0.37,clear-day,0.21,0,0,,0,,1251206520,1251253680,92.92,1251238680,63.16,1251293700,92.92,1251238680,61.6,1251207360,1251183600,10,1251229920,233,12.33,1251243840,2.89,34.18666667,-117.8708333,-7,America/Los_Angeles
38011,38202,FS-1480062,88.51,1249253940,53.02,1249306980,88.51,1249253940,60.84,1249201980,51.32,0.53,,0.41,0.0024,0.0779,1249196400,0.21,rain,1249218360,1249269780,89.01,1249253940,52.53,1249306980,89.01,1249253940,60.35,1249201980,1249196400,0,1249196400,254,18.57,1249254240,3.65,40.955,-121.7944444,-7,America/Los_Angeles
