OBJECTID,FOD_ID,FPA_ID,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,dewpoint,humidity,icon,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,sunriseTime,sunsetTime,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,temperatureMax,temperatureMaxTime,temperatureMin,temperatureMinTime,time,uvIndex,uvIndexTime,windBearing,windGust,windGustTime,windSpeed,latitude_print,longitude_print,offset_print,timezone_print
233476,237596,W-30845,90.59,773793240,,,90.59,773793240,63.42,773758800,50.3,0.38,,0.04,,,,,,773756760,773812440,91.09,773793240,,,91.09,773793240,62.93,773758800,773737200,10,773784480,301,,,16.71,45.4165,-120.8678,-7,America/Los_Angeles
233496,237618,W-30881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.6498,-120.5178,-7,America/Los_Angeles
233501,237623,W-30887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.3999,-120.5011,-7,America/Los_Angeles
233518,237640,W-30915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.6499,-119.9845,-7,America/Los_Angeles
233520,237642,W-30919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.1665,-120.3345,-7,America/Los_Angeles
233595,237717,W-24874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.5999,-120.0678,-7,America/Los_Angeles
233679,237804,W-19320,93.59,840841560,49.69,840894180,93.59,840841560,41.28,840801840,34.06,0.33,,0.32,,,,,,840806400,840855420,94.09,840841560,49.2,840894180,94.09,840841560,40.7,840802020,840783600,8,840830760,333,,,5.69,43.9498,-121.1511,-7,America/Los_Angeles
233819,237953,W-8259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.9137,-120.54,-7,America/Los_Angeles
234271,238422,W-31069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.3665,-118.101,-6,America/Boise
234290,238441,W-31112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.2674,-118.1688,-7,America/Los_Angeles
234299,238451,W-24966,93.6,805327680,53.88,805380300,93.6,805327680,57.4,805287600,46.91,0.47,,0.41,,,,,,805292520,805347060,94.1,805327680,53.39,805380300,94.1,805327680,56.91,805287600,805273200,11,805319760,58,,,0.13,42.6385,-117.5365,-7,America/Los_Angeles
234304,238456,W-24978,97.83,806968440,66.24,807021300,97.83,806968440,59.4,806934300,33.35,0.18,,0.05,,,,,,806935140,806987820,98.33,806968440,65.75,807021300,98.33,806968440,58.91,806934300,806914800,10,806961420,254,,,7.5,42.5665,-117.5676,-7,America/Los_Angeles
234375,238527,W-19502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0665,-117.6343,-7,America/Los_Angeles
234389,238541,W-19527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.3188,-117.7149,-6,America/Boise
234391,238543,W-19530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.8499,-117.2677,-6,America/Boise
234396,238548,W-19540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.6754,-117.1221,-6,America/Boise
234409,238561,W-19565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9499,-117.6177,-7,America/Los_Angeles
234418,238570,W-19574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.7518,-117.6413,-7,America/Los_Angeles
234420,238572,W-19576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.298379,-118.232451,-7,America/Los_Angeles
234511,238663,W-8406,91.53,902529720,54.73,902581380,91.53,902529720,67.36,902502000,42.05,0.27,clear-day,0.5,0,0,,0,,902493900,902545620,92.03,902529720,54.24,902581380,92.03,902529720,66.87,902502000,902469600,9,902519700,306,,,11.34,44.1638,-117.1602,-6,America/Boise
234817,238976,W-31269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.3666,-112.8675,-6,America/Denver
